EMS,DPN,MPN,Supplier,Designation,Designation2,Family,Price,Currency,Origin,Valid_From,MOQ,Incoterm,LT(wk),TYPE
Devialet,DPN003733,200R 10% 0402,_Generic_,RES 200R 10% 0402,,Passives - Resistors,"0,01",EUR,estimation pierre,2020-06-08,,,,
Bosch,DPN003734,10R 1% 1206 0.25W,_Generic_,RES 10R 1% 1206 0.25W,,Passives - Resistors,"0,02",EUR,estimation pierre,2020-06-08,,,,
Tymphany,DPN003734,10R 1% 1206 0.25W,_Generic_,RES 10R 1% 1206 0.25W,,Passives - Resistors,"0,02",EUR,estimation pierre,2020-06-08,,,,
Bosch,DPN003735,R46KI347040P1M,KEMET,"0.47µF Film Capacitor 275V 560V Polypropylene PP, Metallized Radial",,Passives - Specific capacitors,"0,25",EUR,estimation pierre,2020-06-08,,,,SPC
Tymphany,DPN003736,UCS2E151MHD1TN,NICHICON,"150µF 250V Aluminum Electrolytic Capacitors Radial, Can 10000 Hrs  105C",,Passives - Chemical capacitors,1,EUR,estimation pierre,2020-06-08,,,,SPC
Devialet,DPN003751,TPD1E10B06DPYT,Texas Instruments,Single-Channel ESD Protection Device in 0402 Package,,"Discret - Circuit protection (Fuses, ICL, TVS)","0,15",EUR,estimation pierre,2020-06-17,,,,
Devialet,DPN003752,PCA9538ABS,NXP,Low-voltage 8-bit I2C-bus I/O port with interrupt and reset,,IC - Interfaces,"0,6",EUR,estimation pierre,2020-06-17,,,,
Tymphany,DPN003752,PCA9538ABS,NXP,Low-voltage 8-bit I2C-bus I/O port with interrupt and reset,,IC - Interfaces,"0,6",EUR,estimation pierre,2020-06-17,,,,
Devialet,DPN003753,MSP430FR2632IRGER,Texas Instruments,"Capacitive - 8-Inputs 1.8V-3.6V,  8KB FRAM, 2KB SRAM, 15 IO, 10-bit ADC",MSP430FR2632IRGE,IC - Microcontroller,"0,67",USD,manufacturer quote,2020-07-23,,CDP,,
Tymphany,DPN003753,MSP430FR2632IRGER,Texas Instruments,"Capacitive - 8-Inputs 1.8V-3.6V,  8KB FRAM, 2KB SRAM, 15 IO, 10-bit ADC",MSP430FR2632IRGE,IC - Microcontroller,"0,67",USD,manufacturer quote,2020-07-23,,CDP,,
Bosch,DPN003932,EEUFM1C331,PANASONIC,CAP ALUM 330UF 20% 16V THRU HOLE,,Passives - Chemical capacitors,"0,06",EUR,estimation pierre,2020-07-01,,,,SPC
Tymphany,DPN003932,EEUFM1C331,PANASONIC,CAP ALUM 330UF 20% 16V THRU HOLE,,Passives - Chemical capacitors,"0,06",EUR,estimation pierre,2020-07-01,,,,SPC
Tymphany,DPN003933,EKXJ401ELL390MK25S,United Chemi-Con,Capacitor - 39uF 400V ELEC 20% TRAD,,Passives - Chemical capacitors,Missing Price,,,,,,,SPC
Seprolec,DPN003934,4.7uF 16V 10% 0805 X7R,_Generic_,CAP CER 4.7UF 16V 10% 0805 X7R,,Passives - Chemical capacitors,"0,02",EUR,VPC,2020-09-30,,,,GEN
Tymphany,DPN003934,4.7uF 16V 10% 0805 X7R,_Generic_,CAP CER 4.7UF 16V 10% 0805 X7R,,Passives - Chemical capacitors,"0,02",EUR,VPC,2020-09-30,,,,GEN
Tymphany,DPN003935,VH-3A2-01,Zheijang Jinjia Electronics,TWIX KIT AC connector,,Connectors - Board to Board,Missing Price,,,,,,,
Tymphany,DPN003936,2.54Y-2x15SW-8.9AR,Zheijang Jinjia Electronics,Connector 2x15p Female 2.54mm pitch,,Connectors - Board to Board,Missing Price,,,,,,,
Bosch,DPN003939,412k 1% 0805,_Generic_,RES 412K 1% 0805,,Passives - Resistors,Missing Price,,,,,,,
Tymphany,DPN003939,412k 1% 0805,_Generic_,RES 412K 1% 0805,,Passives - Resistors,Missing Price,,,,,,,
Tymphany,DPN003943,AVG-06R1BZP,Sanji Electronics,Optical jack,,Connectors - Client interface sockets,Missing Price,,,,,,,
Tymphany,DPN003947,RJ45R-B011-00-B-E,Check Technology,CONN RJ45,,Connectors - Client interface sockets,Missing Price,,,,,,,
Bosch,DPN003960,NCP730ASN330T1G,ON SEMI,IC REG LINEAR 3.3V 150MA SOT23-5 ,,IC - PMIC Voltage Regulators LDO,"0,2",EUR,VPC,2020-09-30,,,,
